label,species,accession,tier,clade,length,is_query,source
loxodonta_africana,loxodonta_africana,XP_010589417.3,1,Afrotheria,437,False,NCBI_RefSeq
ailuropoda_melanoleuca,ailuropoda_melanoleuca,XP_034519461.1,1,Carnivora,302,False,NCBI_RefSeq
canis_lupus_familiaris,canis_lupus_familiaris,XP_546089.4,1,Carnivora,441,False,NCBI_RefSeq
felis_catus,felis_catus,XP_011285522.3,1,Carnivora,439,False,NCBI_RefSeq
mustela_putorius_furo,mustela_putorius_furo,XP_004776090.2,1,Carnivora,428,False,NCBI_RefSeq
balaenoptera_musculus,balaenoptera_musculus,XP_036685465.1,1,Cetartiodactyla,437,False,NCBI_RefSeq
bos_mutus,bos_mutus,XP_070220922.1,1,Cetartiodactyla,420,False,NCBI_RefSeq
bos_taurus,bos_taurus,NP_001192975.2,1,Cetartiodactyla,420,False,NCBI_RefSeq
camelus_dromedarius,camelus_dromedarius,XP_010993725.3,1,Cetartiodactyla,430,False,NCBI_RefSeq
capra_hircus,capra_hircus,XP_005699030.3,1,Cetartiodactyla,431,False,NCBI_RefSeq
delphinapterus_leucas,delphinapterus_leucas,XP_022408945.1,1,Cetartiodactyla,439,False,NCBI_RefSeq
ovis_aries,ovis_aries,XP_027818259.1,1,Cetartiodactyla,431,False,NCBI_RefSeq
sus_scrofa,sus_scrofa,XP_020929239.2,1,Cetartiodactyla,427,False,NCBI_RefSeq
vicugna_pacos,vicugna_pacos,XP_015101689.2,1,Cetartiodactyla,432,False,NCBI_RefSeq
rhinolophus_ferrumequinum,rhinolophus_ferrumequinum,XP_032955515.1,1,Chiroptera,427,False,NCBI_RefSeq
cavia_porcellus,cavia_porcellus,XP_013011725.3,1,Hystricomorpha,388,True,NCBI_RefSeq
chinchilla_lanigera,chinchilla_lanigera,XP_005405027.1,1,Hystricomorpha,356,False,NCBI_RefSeq
heterocephalus_glaber,heterocephalus_glaber_female,XP_004854709.1,1,Hystricomorpha,385,False,NCBI_RefSeq
octodon_degus,octodon_degus,XP_004640885.1,1,Hystricomorpha,388,False,NCBI_RefSeq
ochotona_princeps,ochotona_princeps,XP_004578594.2,1,Lagomorpha,472,False,NCBI_RefSeq
oryctolagus_cuniculus,oryctolagus_cuniculus,XP_002717379.1,1,Lagomorpha,436,False,NCBI_RefSeq
monodelphis_domestica,monodelphis_domestica,XP_007481677.1,1,Metatheria,452,False,NCBI_RefSeq
sarcophilus_harrisii,sarcophilus_harrisii,XP_003767883.4,1,Metatheria,450,False,NCBI_RefSeq
ornithorhynchus_anatinus,ornithorhynchus_anatinus,XP_028902975.2,1,Monotremata,320,False,NCBI_RefSeq
equus_caballus,equus_caballus,XP_014588968.2,1,Perissodactyla,430,False,NCBI_RefSeq
callithrix_jacchus,callithrix_jacchus,XP_003735339.3,1,Primates,426,False,NCBI_RefSeq
gorilla_gorilla,gorilla_gorilla,XP_004028630.1,1,Primates,426,False,NCBI_RefSeq
homo_sapiens,homo_sapiens,Q9GZT9,1,Primates,426,False,UniProt
macaca_mulatta,macaca_mulatta,XP_001104870.1,1,Primates,426,False,NCBI_RefSeq
microcebus_murinus,microcebus_murinus,XP_012593662.2,1,Primates,420,False,NCBI_RefSeq
pan_troglodytes,pan_troglodytes,XP_063646679.1,1,Primates,439,False,NCBI_RefSeq
cricetulus_griseus,cricetulus_griseus_picr,XP_007651724.2,1,Rodentia(other),401,False,NCBI_RefSeq
ictidomys_tridecemlineatus,ictidomys_tridecemlineatus,XP_077879172.1,1,Rodentia(other),447,False,NCBI_RefSeq
jaculus_jaculus,jaculus_jaculus,XP_012804465.2,1,Rodentia(other),420,False,NCBI_RefSeq
marmota_marmota_marmota,marmota_marmota_marmota,XP_027803786.2,1,Rodentia(other),413,False,NCBI_RefSeq
microtus_ochrogaster,microtus_ochrogaster,XP_005346760.1,1,Rodentia(other),427,False,NCBI_RefSeq
mus_musculus,mus_musculus,NP_444437.2,1,Rodentia(other),400,False,NCBI_RefSeq
nannospalax_galili,nannospalax_galili,XP_017656751.1,1,Rodentia(other),303,False,NCBI_RefSeq
